Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-03-21 18:40:09.619461	,0	,1.1836,	0.0000,	0.0552
2024-03-21 18:40:09.629461	,1	,1.1949,	0.0000,	0.0552
2024-03-21 18:40:09.640461	,2	,1.0091,	0.0000,	0.0552
2024-03-21 18:40:09.650461	,3	,0.9693,	0.0000,	0.0552
2024-03-21 18:40:09.657463	,4	,1.0872,	0.0000,	0.0552
2024-03-21 18:40:09.666649	,5	,1.0413,	0.0000,	0.0552
2024-03-21 18:40:09.676650	,6	,1.0408,	0.0000,	0.0552
2024-03-21 18:40:09.686647	,7	,1.0331,	0.0000,	0.0552
2024-03-21 18:40:09.693649	,8	,1.0624,	0.0000,	0.0552
2024-03-21 18:40:09.700649	,9	,0.9941,	0.0000,	0.0552
2024-03-21 18:40:09.707649	,10	,1.0941,	0.0000,	0.0552
2024-03-21 18:40:09.715087	,11	,1.0278,	0.0000,	0.0552
2024-03-21 18:40:09.724087	,12	,1.0004,	0.0000,	0.0552
2024-03-21 18:40:09.734086	,13	,1.0414,	0.0000,	0.0552
2024-03-21 18:40:09.745091	,14	,0.9709,	0.0000,	0.0552
2024-03-21 18:40:09.751595	,15	,0.9301,	0.0000,	0.0552
2024-03-21 18:40:09.758599	,16	,0.9697,	0.0000,	0.0552
2024-03-21 18:40:09.766599	,17	,0.9524,	0.0000,	0.0552
2024-03-21 18:40:09.774599	,18	,0.9569,	0.0000,	0.0552
2024-03-21 18:40:09.781600	,19	,1.0617,	0.0000,	0.0552
2024-03-21 18:40:09.790599	,20	,0.9829,	0.0000,	0.0552
2024-03-21 18:40:09.796599	,21	,1.0488,	0.0000,	0.0552
2024-03-21 18:40:09.806601	,22	,1.0228,	0.0000,	0.0552
2024-03-21 18:40:09.815599	,23	,0.9894,	0.0000,	0.0552
2024-03-21 18:40:09.826478	,24	,0.9116,	0.0000,	0.0552
2024-03-21 18:40:09.840477	,25	,0.9813,	0.0000,	0.0552
2024-03-21 18:40:09.849477	,26	,1.0346,	0.0000,	0.0552
2024-03-21 18:40:09.857102	,27	,1.0214,	0.0000,	0.0552
2024-03-21 18:40:09.868690	,28	,0.9774,	0.0000,	0.0552
2024-03-21 18:40:09.878696	,29	,0.9946,	0.0000,	0.0552
2024-03-21 18:40:09.888697	,30	,1.0308,	0.0000,	0.0552
2024-03-21 18:40:09.905696	,31	,1.0290,	0.0000,	0.0552
2024-03-21 18:40:09.915699	,32	,0.9671,	0.0000,	0.0552
2024-03-21 18:40:09.924699	,33	,0.9799,	0.0000,	0.0552
2024-03-21 18:40:09.934418	,34	,0.9902,	0.0000,	0.0552
2024-03-21 18:40:09.945420	,35	,0.9583,	0.0000,	0.0552
2024-03-21 18:40:09.958418	,36	,0.8786,	0.0000,	0.0552
2024-03-21 18:40:09.969418	,37	,0.9258,	0.0000,	0.0552
2024-03-21 18:40:09.976420	,38	,0.9233,	0.0000,	0.0552
2024-03-21 18:40:09.984418	,39	,1.1027,	0.0000,	0.0552
2024-03-21 18:40:09.992418	,40	,0.9823,	0.0000,	0.0552
2024-03-21 18:40:09.999419	,41	,0.9523,	0.0000,	0.0552
2024-03-21 18:40:10.009422	,42	,0.9716,	0.0000,	0.0552
2024-03-21 18:40:10.017420	,43	,0.9156,	0.0000,	0.0552
2024-03-21 18:40:10.024425	,44	,0.8788,	0.0000,	0.0552
2024-03-21 18:40:10.034420	,45	,0.9826,	0.0000,	0.0552
2024-03-21 18:40:10.042137	,46	,0.9448,	0.0000,	0.0552
2024-03-21 18:40:10.053143	,47	,0.8965,	0.0000,	0.0552
2024-03-21 18:40:10.060143	,48	,0.9578,	0.0000,	0.0552
2024-03-21 18:40:10.067142	,49	,0.9570,	0.0000,	0.0552
2024-03-21 18:40:10.074141	,50	,0.9163,	0.0000,	0.0552
2024-03-21 18:40:10.082151	,51	,0.7850,	0.0000,	0.0552
2024-03-21 18:40:10.094038	,52	,0.9934,	0.0000,	0.0552
2024-03-21 18:40:10.101545	,53	,0.8894,	0.0000,	0.0552
2024-03-21 18:40:10.107545	,54	,0.8355,	0.0000,	0.0552
2024-03-21 18:40:10.115058	,55	,0.8509,	0.0000,	0.0552
2024-03-21 18:40:10.121792	,56	,0.9733,	0.0000,	0.0552
2024-03-21 18:40:10.130794	,57	,0.8690,	0.0000,	0.0552
2024-03-21 18:40:10.140792	,58	,0.9577,	0.0000,	0.0552
2024-03-21 18:40:10.147793	,59	,0.9988,	0.0000,	0.0552
2024-03-21 18:40:10.157632	,60	,1.0135,	0.0000,	0.0552
2024-03-21 18:40:10.165633	,61	,0.9835,	0.0000,	0.0552
2024-03-21 18:40:10.172632	,62	,1.0032,	0.0000,	0.0552
2024-03-21 18:40:10.182633	,63	,0.9622,	0.0000,	0.0552
2024-03-21 18:40:10.190631	,64	,1.1732,	0.0000,	0.0552
2024-03-21 18:40:10.197634	,65	,1.0028,	0.0000,	0.0552
2024-03-21 18:40:10.207632	,66	,0.9038,	0.0000,	0.0552
