Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-11 14:39:46.542929	,0	,1.1915,	0.0000,	0.0000
2024-04-11 14:39:46.551949	,1	,1.1379,	0.0000,	0.0000
2024-04-11 14:39:46.561083	,2	,1.1772,	0.0000,	0.0000
2024-04-11 14:39:46.573097	,3	,1.1180,	0.0000,	0.0000
2024-04-11 14:39:46.580140	,4	,1.1667,	0.0000,	0.0000
2024-04-11 14:39:46.590164	,5	,1.1906,	0.0000,	0.0000
2024-04-11 14:39:46.600671	,6	,1.1217,	0.0000,	0.0000
2024-04-11 14:39:46.615196	,7	,1.1062,	0.0000,	0.0000
2024-04-11 14:39:46.625110	,8	,1.1762,	0.0000,	0.0000
2024-04-11 14:39:46.635215	,9	,1.1979,	0.0000,	0.0000
2024-04-11 14:39:46.647246	,10	,1.1390,	0.0000,	0.0000
2024-04-11 14:39:46.656832	,11	,1.1564,	0.0000,	0.0000
2024-04-11 14:39:46.668406	,12	,1.1808,	0.0000,	0.0000
2024-04-11 14:39:46.680418	,13	,1.1724,	0.0000,	0.0000
2024-04-11 14:39:46.690978	,14	,1.1191,	0.0000,	0.0000
2024-04-11 14:39:46.698921	,15	,1.1364,	0.0000,	0.0000
2024-04-11 14:39:46.710669	,16	,1.1311,	0.0000,	0.0000
2024-04-11 14:39:46.717679	,17	,1.1401,	0.0000,	0.0000
2024-04-11 14:39:46.727185	,18	,1.0926,	0.0000,	0.0000
2024-04-11 14:39:46.737574	,19	,1.2053,	0.0000,	0.0000
2024-04-11 14:39:46.746586	,20	,1.1829,	0.0000,	0.0000
2024-04-11 14:39:46.755587	,21	,1.1924,	0.0000,	0.0000
2024-04-11 14:39:46.762597	,22	,1.1661,	0.0000,	0.0000
2024-04-11 14:39:46.770607	,23	,1.1819,	0.0000,	0.0000
2024-04-11 14:39:46.778617	,24	,1.1064,	0.0000,	0.0000
2024-04-11 14:39:46.785138	,25	,1.0594,	0.0000,	0.0000
2024-04-11 14:39:46.795153	,26	,1.1989,	0.0000,	0.0000
2024-04-11 14:39:46.809226	,27	,1.2105,	0.0000,	0.0000
2024-04-11 14:39:46.819308	,28	,1.1570,	0.0000,	0.0000
2024-04-11 14:39:46.827317	,29	,1.1208,	0.0000,	0.0000
2024-04-11 14:39:47.292607	,30	,1.1729,	0.0000,	0.0000
2024-04-11 14:39:47.304648	,31	,1.2719,	0.0000,	0.0000
2024-04-11 14:39:47.314656	,32	,1.0748,	0.0000,	0.0000
2024-04-11 14:39:47.331700	,33	,1.1501,	0.0000,	0.0000
2024-04-11 14:39:47.344721	,34	,1.1234,	0.0000,	0.0000
2024-04-11 14:39:47.354234	,35	,1.1844,	0.0000,	0.0000
2024-04-11 14:39:47.362293	,36	,1.1485,	0.0000,	0.0000
2024-04-11 14:39:47.373317	,37	,1.1331,	0.0000,	0.0000
2024-04-11 14:39:47.382328	,38	,1.1193,	0.0000,	0.0000
2024-04-11 14:39:47.392155	,39	,1.2048,	0.0000,	0.0000
2024-04-11 14:39:47.401170	,40	,1.1728,	0.0000,	0.0000
2024-04-11 14:39:47.414337	,41	,1.1102,	0.0000,	0.0000
2024-04-11 14:39:47.424553	,42	,1.1798,	0.0000,	0.0000
2024-04-11 14:39:47.430617	,43	,1.1116,	0.0000,	0.0000
2024-04-11 14:39:47.439466	,44	,1.1191,	0.0000,	0.0000
2024-04-11 14:39:47.448513	,45	,1.1327,	0.0000,	0.0000
2024-04-11 14:39:47.457528	,46	,1.0879,	0.0000,	0.0000
2024-04-11 14:39:47.463599	,47	,1.0673,	0.0000,	0.0000
2024-04-11 14:39:47.473681	,48	,1.1263,	0.0000,	0.0000
2024-04-11 14:39:47.480340	,49	,1.1267,	0.0000,	0.0000
2024-04-11 14:39:47.491364	,50	,1.1951,	0.0000,	0.0000
2024-04-11 14:39:47.499002	,51	,1.0507,	0.0000,	0.0000
2024-04-11 14:39:47.511521	,52	,1.0852,	0.0000,	0.0000
2024-04-11 14:39:47.522638	,53	,1.1125,	0.0000,	0.0000
2024-04-11 14:39:47.532677	,54	,1.1589,	0.0000,	0.0000
2024-04-11 14:39:47.544199	,55	,1.1085,	0.0000,	0.0000
2024-04-11 14:39:47.554309	,56	,1.1701,	0.0000,	0.0000
2024-04-11 14:39:47.563639	,57	,1.1790,	0.0000,	0.0000
2024-04-11 14:39:47.572568	,58	,1.1594,	0.0000,	0.0000
2024-04-11 14:39:47.579217	,59	,1.1384,	0.0000,	0.0000
2024-04-11 14:39:47.918887	,60	,1.1891,	0.0000,	0.0000
2024-04-11 14:39:47.928813	,61	,1.1536,	0.0000,	0.0000
2024-04-11 14:39:47.941023	,62	,1.1721,	0.0000,	0.0000
2024-04-11 14:39:47.951034	,63	,1.1367,	0.0000,	0.0000
2024-04-11 14:39:47.963055	,64	,1.2777,	0.0000,	0.0000
2024-04-11 14:39:47.970628	,65	,1.2217,	0.0000,	0.0000
2024-04-11 14:39:47.979638	,66	,1.1286,	0.0000,	0.0000
2024-04-11 14:39:47.986642	,67	,1.2229,	0.0000,	0.0000
2024-04-11 14:39:47.995656	,68	,1.1571,	0.0000,	0.0000
2024-04-11 14:39:48.009200	,69	,1.0839,	0.0000,	0.0000
2024-04-11 14:39:48.020219	,70	,1.0116,	0.0000,	0.0000
2024-04-11 14:39:48.031236	,71	,1.2356,	0.0000,	0.0000
2024-04-11 14:39:48.041264	,72	,1.1606,	0.0000,	0.0000
2024-04-11 14:39:48.047277	,73	,1.1867,	0.0000,	0.0000
2024-04-11 14:39:48.057324	,74	,1.1246,	0.0000,	0.0000
2024-04-11 14:39:48.063835	,75	,1.1379,	0.0000,	0.0000
2024-04-11 14:39:48.072872	,76	,1.1884,	0.0000,	0.0000
2024-04-11 14:39:48.079538	,77	,1.1519,	0.0000,	0.0000
2024-04-11 14:39:48.090563	,78	,1.2249,	0.0000,	0.0000
2024-04-11 14:39:48.098640	,79	,1.1494,	0.0000,	0.0000
2024-04-11 14:39:48.111414	,80	,1.0766,	0.0000,	0.0000
2024-04-11 14:39:48.119946	,81	,1.0480,	0.0000,	0.0000
2024-04-11 14:39:48.128589	,82	,1.0605,	0.0000,	0.0000
2024-04-11 14:39:48.134589	,83	,1.2721,	0.0000,	0.0000
2024-04-11 14:39:48.145472	,84	,1.1450,	0.0000,	0.0000
2024-04-11 14:39:48.152481	,85	,1.1348,	0.0000,	0.0000
2024-04-11 14:39:48.162658	,86	,1.1287,	0.0000,	0.0000
2024-04-11 14:39:48.174683	,87	,1.1401,	0.0000,	0.0000
2024-04-11 14:39:48.182320	,88	,1.2970,	0.0000,	0.0000
2024-04-11 14:39:48.190337	,89	,1.0938,	0.0000,	0.0000
2024-04-11 14:39:48.527257	,90	,1.1427,	0.0000,	0.0000
2024-04-11 14:39:48.533261	,91	,1.1787,	0.0000,	0.0000
2024-04-11 14:39:48.543297	,92	,1.1055,	0.0000,	0.0000
2024-04-11 14:39:48.549849	,93	,1.1819,	0.0000,	0.0000
2024-04-11 14:39:48.557861	,94	,1.0842,	0.0000,	0.0000
2024-04-11 14:39:48.563864	,95	,1.1808,	0.0000,	0.0000
2024-04-11 14:39:48.573883	,96	,1.1165,	0.0000,	0.0000
2024-04-11 14:39:48.580901	,97	,1.1655,	0.0000,	0.0000
2024-04-11 14:39:48.590922	,98	,1.0972,	0.0000,	0.0000
2024-04-11 14:39:48.598521	,99	,1.1870,	0.0000,	0.0000
2024-04-11 14:39:48.612106	,100	,1.0558,	0.0000,	0.0000
2024-04-11 14:39:48.621684	,101	,1.0129,	0.0000,	0.0000
2024-04-11 14:39:48.631195	,102	,1.1279,	0.0000,	0.0000
2024-04-11 14:39:48.640227	,103	,1.1549,	0.0000,	0.0000
2024-04-11 14:39:48.650331	,104	,1.0928,	0.0000,	0.0000
2024-04-11 14:39:48.664341	,105	,1.0960,	0.0000,	0.0000
2024-04-11 14:39:48.673352	,106	,1.0898,	0.0000,	0.0000
2024-04-11 14:39:48.680376	,107	,1.1222,	0.0000,	0.0000
2024-04-11 14:39:48.690417	,108	,1.1008,	0.0000,	0.0000
2024-04-11 14:39:48.698429	,109	,1.1554,	0.0000,	0.0000
2024-04-11 14:39:48.712048	,110	,1.0975,	0.0000,	0.0000
