Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-03-15 12:13:43.103718	,0	,1.2619,	0.0000,	0.3720
2024-03-15 12:13:43.111719	,1	,1.3101,	0.0000,	0.3720
2024-03-15 12:13:43.121718	,2	,1.0310,	0.0000,	0.3720
2024-03-15 12:13:43.130718	,3	,1.0804,	0.0000,	0.3720
2024-03-15 12:13:43.137720	,4	,1.0307,	0.0000,	0.3720
2024-03-15 12:13:43.146718	,5	,0.9083,	0.0000,	0.3720
2024-03-15 12:13:43.154720	,6	,1.0629,	0.0000,	0.3720
2024-03-15 12:13:43.170125	,7	,0.9783,	0.0000,	0.3720
2024-03-15 12:13:43.179491	,8	,1.1958,	0.0000,	0.3720
2024-03-15 12:13:43.187020	,9	,0.9452,	0.0000,	0.3720
2024-03-15 12:13:43.212363	,10	,1.0686,	0.0000,	0.3720
2024-03-15 12:13:43.227363	,11	,1.0188,	0.0000,	0.3720
2024-03-15 12:13:43.235364	,12	,1.1630,	0.0000,	0.3720
2024-03-15 12:13:43.243363	,13	,1.1740,	0.0000,	0.3720
2024-03-15 12:13:43.251363	,14	,1.0459,	0.0000,	0.3720
2024-03-15 12:13:43.259364	,15	,1.0178,	0.0000,	0.3720
2024-03-15 12:13:43.265363	,16	,1.1851,	0.0000,	0.3720
2024-03-15 12:13:43.276363	,17	,0.9080,	0.0000,	0.3720
2024-03-15 12:13:43.286365	,18	,0.9049,	0.0000,	0.3720
2024-03-15 12:13:43.294363	,19	,1.1167,	0.0000,	0.3720
2024-03-15 12:13:43.301370	,20	,0.9000,	0.0000,	0.3720
2024-03-15 12:13:43.311660	,21	,1.3131,	0.0000,	0.3720
2024-03-15 12:13:43.319630	,22	,1.1917,	0.0000,	0.3720
2024-03-15 12:13:43.326631	,23	,1.0805,	0.0000,	0.3720
2024-03-15 12:13:43.333631	,24	,0.9871,	0.0000,	0.3720
2024-03-15 12:13:43.339629	,25	,0.9627,	0.0000,	0.3720
2024-03-15 12:13:43.345630	,26	,1.2100,	0.0000,	0.3720
2024-03-15 12:13:43.357629	,27	,1.1931,	0.0000,	0.3720
2024-03-15 12:13:43.366787	,28	,1.0128,	0.0000,	0.3720
2024-03-15 12:13:43.375799	,29	,0.9729,	0.0000,	0.3720
2024-03-15 12:13:43.385306	,30	,1.0060,	0.0000,	0.3720
2024-03-15 12:13:43.394374	,31	,1.2712,	0.0000,	0.3720
2024-03-15 12:13:43.401373	,32	,0.9942,	0.0000,	0.3720
2024-03-15 12:13:43.408372	,33	,0.9848,	0.0000,	0.3720
2024-03-15 12:13:43.414980	,34	,1.0312,	0.0000,	0.3720
2024-03-15 12:13:43.421353	,35	,0.9930,	0.0000,	0.3720
2024-03-15 12:13:43.428850	,36	,1.0698,	0.0000,	0.3720
