Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-17 22:06:33.396503	,0	,1.1124,	0.0000,	0.3440
2024-04-17 22:06:33.409554	,1	,1.1559,	0.0000,	0.3187
2024-04-17 22:06:33.419554	,2	,1.1147,	0.0000,	0.3333
2024-04-17 22:06:33.427569	,3	,1.1419,	0.0000,	0.3040
2024-04-17 22:06:33.439703	,4	,1.1228,	0.0000,	0.3020
2024-04-17 22:06:33.447702	,5	,1.0715,	0.0000,	0.3327
2024-04-17 22:06:33.458702	,6	,1.1364,	0.0000,	0.3193
2024-04-17 22:06:33.466708	,7	,1.0975,	0.0000,	0.3333
2024-04-17 22:06:33.480705	,8	,1.1331,	0.0000,	0.3080
2024-04-17 22:06:33.497705	,9	,1.1270,	0.0000,	0.3100
2024-04-17 22:06:33.511714	,10	,1.1434,	0.0000,	0.3213
2024-04-17 22:06:33.523713	,11	,1.1909,	0.0000,	0.3007
2024-04-17 22:06:33.540443	,12	,1.1460,	0.0000,	0.3160
2024-04-17 22:06:33.559443	,13	,1.1517,	0.0000,	0.3113
2024-04-17 22:06:33.574442	,14	,1.1268,	0.0000,	0.3200
2024-04-17 22:06:33.588196	,15	,1.0468,	0.0000,	0.3300
2024-04-17 22:06:33.599211	,16	,1.1452,	0.0000,	0.3227
2024-04-17 22:06:33.608716	,17	,1.0898,	0.0000,	0.3273
2024-04-17 22:06:33.619723	,18	,1.0805,	0.0000,	0.3353
2024-04-17 22:06:33.631768	,19	,1.1481,	0.0000,	0.3180
2024-04-17 22:06:33.642358	,20	,1.1751,	0.0000,	0.3353
2024-04-17 22:06:33.649358	,21	,1.1426,	0.0000,	0.3180
2024-04-17 22:06:33.659357	,22	,1.1136,	0.0000,	0.3147
2024-04-17 22:06:33.668357	,23	,1.1234,	0.0000,	0.2993
2024-04-17 22:06:33.675357	,24	,1.1033,	0.0000,	0.3073
2024-04-17 22:06:33.688360	,25	,1.1037,	0.0000,	0.3013
2024-04-17 22:06:33.695361	,26	,1.1373,	0.0000,	0.3220
2024-04-17 22:06:33.704878	,27	,1.1812,	0.0000,	0.3327
2024-04-17 22:06:33.714884	,28	,1.0935,	0.0000,	0.2987
2024-04-17 22:06:33.728392	,29	,1.1663,	0.0000,	0.3280
2024-04-17 22:06:33.742905	,30	,1.1740,	0.0000,	0.3440
2024-04-17 22:06:33.756466	,31	,1.1116,	0.0000,	0.3187
2024-04-17 22:06:33.764463	,32	,1.1042,	0.0000,	0.3333
2024-04-17 22:06:33.774463	,33	,1.1144,	0.0000,	0.3040
2024-04-17 22:06:33.781463	,34	,1.0849,	0.0000,	0.3020
2024-04-17 22:06:33.790463	,35	,1.1026,	0.0000,	0.3327
2024-04-17 22:06:33.796463	,36	,1.1220,	0.0000,	0.3193
2024-04-17 22:06:33.805464	,37	,1.0546,	0.0000,	0.3333
2024-04-17 22:06:33.812468	,38	,1.1129,	0.0000,	0.3080
2024-04-17 22:06:33.820468	,39	,1.1496,	0.0000,	0.3100
2024-04-17 22:06:33.826976	,40	,1.1085,	0.0000,	0.3213
2024-04-17 22:06:33.833981	,41	,1.1017,	0.0000,	0.3007
2024-04-17 22:06:33.840980	,42	,1.1349,	0.0000,	0.3160
2024-04-17 22:06:33.848000	,43	,1.0789,	0.0000,	0.3113
2024-04-17 22:06:33.855001	,44	,1.1625,	0.0000,	0.3200
2024-04-17 22:06:33.863089	,45	,1.0722,	0.0000,	0.3300
2024-04-17 22:06:33.871715	,46	,1.0663,	0.0000,	0.3227
2024-04-17 22:06:33.878723	,47	,1.0970,	0.0000,	0.3273
2024-04-17 22:06:33.886719	,48	,1.0779,	0.0000,	0.3353
2024-04-17 22:06:33.894718	,49	,1.1287,	0.0000,	0.3180
2024-04-17 22:06:33.905239	,50	,1.0878,	0.0000,	0.3353
2024-04-17 22:06:33.912243	,51	,1.0452,	0.0000,	0.3180
2024-04-17 22:06:33.920239	,52	,1.1018,	0.0000,	0.3147
2024-04-17 22:06:33.930260	,53	,1.0951,	0.0000,	0.2993
2024-04-17 22:06:33.940258	,54	,1.0872,	0.0000,	0.3073
2024-04-17 22:06:33.950259	,55	,1.0527,	0.0000,	0.3013
2024-04-17 22:06:33.959258	,56	,1.1801,	0.0000,	0.3220
2024-04-17 22:06:33.968371	,57	,1.1091,	0.0000,	0.3327
2024-04-17 22:06:33.976904	,58	,1.1207,	0.0000,	0.2987
2024-04-17 22:06:33.987903	,59	,1.1019,	0.0000,	0.3280
2024-04-17 22:06:33.997902	,60	,1.1274,	0.0000,	0.3440
2024-04-17 22:06:34.005902	,61	,1.1446,	0.0000,	0.3187
2024-04-17 22:06:34.012908	,62	,1.1586,	0.0000,	0.3333
2024-04-17 22:06:34.020908	,63	,1.1300,	0.0000,	0.3040
2024-04-17 22:06:34.027421	,64	,1.1947,	0.0000,	0.3020
2024-04-17 22:06:34.035421	,65	,1.1271,	0.0000,	0.3327
2024-04-17 22:06:34.042421	,66	,1.1140,	0.0000,	0.3193
2024-04-17 22:06:34.050419	,67	,1.1459,	0.0000,	0.3333
2024-04-17 22:06:34.059418	,68	,1.1550,	0.0000,	0.3080
2024-04-17 22:06:34.068418	,69	,1.0908,	0.0000,	0.3100
2024-04-17 22:06:34.077968	,70	,1.0819,	0.0000,	0.3213
2024-04-17 22:06:34.089977	,71	,1.1294,	0.0000,	0.3007
2024-04-17 22:06:34.099171	,72	,1.0826,	0.0000,	0.3160
2024-04-17 22:06:34.106170	,73	,1.1245,	0.0000,	0.3113
2024-04-17 22:06:34.113176	,74	,1.0838,	0.0000,	0.3200
2024-04-17 22:06:34.121175	,75	,1.1499,	0.0000,	0.3300
2024-04-17 22:06:34.127685	,76	,1.1095,	0.0000,	0.3227
2024-04-17 22:06:34.136684	,77	,1.0649,	0.0000,	0.3273
2024-04-17 22:06:34.143684	,78	,1.1499,	0.0000,	0.3353
2024-04-17 22:06:34.152686	,79	,1.1205,	0.0000,	0.3180
2024-04-17 22:06:34.159685	,80	,1.0696,	0.0000,	0.3353
2024-04-17 22:06:34.167685	,81	,1.1214,	0.0000,	0.3180
2024-04-17 22:06:34.176686	,82	,1.0586,	0.0000,	0.3147
2024-04-17 22:06:34.183685	,83	,1.1928,	0.0000,	0.2993
2024-04-17 22:06:34.192637	,84	,1.1252,	0.0000,	0.3073
2024-04-17 22:06:34.201633	,85	,1.0865,	0.0000,	0.3013
2024-04-17 22:06:34.212639	,86	,1.0764,	0.0000,	0.3220
2024-04-17 22:06:34.229155	,87	,1.0986,	0.0000,	0.3327
2024-04-17 22:06:34.241155	,88	,1.1720,	0.0000,	0.2987
2024-04-17 22:06:34.254156	,89	,1.0748,	0.0000,	0.3280
2024-04-17 22:06:34.266157	,90	,1.1138,	0.0000,	0.3440
2024-04-17 22:06:34.282155	,91	,1.1252,	0.0000,	0.3187
2024-04-17 22:06:34.305009	,92	,1.0759,	0.0000,	0.3333
2024-04-17 22:06:34.319015	,93	,1.1025,	0.0000,	0.3040
