Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-03-22 22:28:38.124923	,0	,1.7444,	0.0000,	0.0000
2024-03-22 22:28:43.313510	,1	,2.0330,	0.0000,	0.0000
2024-03-22 22:28:48.399092	,2	,1.7878,	0.0000,	0.0000
2024-03-22 22:28:53.739192	,3	,1.4491,	0.0000,	0.0000
2024-03-22 22:28:58.976335	,4	,1.6437,	0.0000,	0.0000
2024-03-22 22:29:04.129693	,5	,1.8324,	0.0000,	0.0000
2024-03-22 22:29:07.089006	,6	,1.2515,	0.0000,	0.0000
2024-03-22 22:29:12.474709	,7	,1.7327,	0.0000,	0.0000
2024-03-22 22:29:17.470466	,8	,1.6570,	0.0000,	0.0000
2024-03-22 22:29:22.643680	,9	,1.3798,	0.0000,	0.0000
2024-03-22 22:29:27.711811	,10	,1.4764,	0.0000,	0.0000
2024-03-22 22:29:32.836888	,11	,1.5904,	0.0000,	0.0000
2024-03-22 22:29:37.879744	,12	,1.4483,	0.0000,	0.0000
2024-03-22 22:29:40.622819	,13	,1.2958,	0.0000,	0.0000
2024-03-22 22:29:45.959007	,14	,1.5417,	0.0000,	0.0000
2024-03-22 22:29:51.130658	,15	,1.4675,	0.0000,	0.0000
2024-03-22 22:29:56.235284	,16	,1.3907,	0.0000,	0.0000
2024-03-22 22:30:01.700119	,17	,1.4467,	0.0000,	0.0000
2024-03-22 22:30:07.038507	,18	,1.4948,	0.0000,	0.0000
2024-03-22 22:30:11.870594	,19	,1.3541,	0.0000,	0.0000
2024-03-22 22:30:14.440766	,20	,1.1844,	0.0000,	0.0000
2024-03-22 22:30:19.576498	,21	,1.3815,	0.0000,	0.0000
2024-03-22 22:30:24.205806	,22	,1.3154,	0.0000,	0.0000
2024-03-22 22:30:28.875170	,23	,1.3346,	0.0000,	0.0000
2024-03-22 22:30:33.689014	,24	,1.2992,	0.0000,	0.0000
2024-03-22 22:30:38.402714	,25	,1.2835,	0.0000,	0.0000
2024-03-22 22:30:42.947619	,26	,1.3004,	0.0000,	0.0000
2024-03-22 22:30:45.340972	,27	,1.1502,	0.0000,	0.0000
2024-03-22 22:30:50.117195	,28	,1.3671,	0.0000,	0.0000
2024-03-22 22:30:54.889118	,29	,1.1862,	0.0000,	0.0000
2024-03-22 22:30:59.609477	,30	,1.2292,	0.0000,	0.0000
2024-03-22 22:31:04.256975	,31	,1.2571,	0.0000,	0.0000
2024-03-22 22:31:08.929980	,32	,1.2535,	0.0000,	0.0000
2024-03-22 22:31:13.542498	,33	,1.2946,	0.0000,	0.0000
2024-03-22 22:31:16.025513	,34	,1.0458,	0.0000,	0.0000
2024-03-22 22:31:20.997384	,35	,1.1984,	0.0000,	0.0000
2024-03-22 22:31:26.208689	,36	,1.2116,	0.0000,	0.0000
2024-03-22 22:31:31.291931	,37	,1.1520,	0.0000,	0.0000
2024-03-22 22:31:35.713745	,38	,1.1389,	0.0000,	0.0000
2024-03-22 22:31:40.741357	,39	,1.2097,	0.0000,	0.0000
2024-03-22 22:31:45.401296	,40	,1.1891,	0.0000,	0.0000
2024-03-22 22:31:47.854375	,41	,1.0186,	0.0000,	0.0000
2024-03-22 22:31:52.494771	,42	,1.1634,	0.0000,	0.0000
2024-03-22 22:31:57.302118	,43	,1.1610,	0.0000,	0.0000
2024-03-22 22:32:02.025864	,44	,1.1470,	0.0000,	0.0000
2024-03-22 22:32:06.593874	,45	,1.1122,	0.0000,	0.0000
2024-03-22 22:32:11.147686	,46	,1.1135,	0.0000,	0.0000
2024-03-22 22:32:15.875262	,47	,1.1903,	0.0000,	0.0000
2024-03-22 22:32:18.324614	,48	,1.0415,	0.0000,	0.0000
2024-03-22 22:32:23.185240	,49	,1.1607,	0.0000,	0.0000
2024-03-22 22:32:28.033577	,50	,1.1267,	0.0000,	0.0000
2024-03-22 22:32:32.845388	,51	,1.1617,	0.0000,	0.0000
2024-03-22 22:32:37.449816	,52	,1.1241,	0.0000,	0.0000
2024-03-22 22:32:41.866605	,53	,1.0690,	0.0000,	0.0000
2024-03-22 22:32:46.677301	,54	,1.1085,	0.0000,	0.0000
2024-03-22 22:32:49.237312	,55	,0.9719,	0.0000,	0.0000
