Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-09 19:57:38.904406	,0	,2.1482,	0.0000,	0.2533
2024-04-09 19:57:47.897472	,1	,2.0524,	0.0000,	0.2347
2024-04-09 19:57:57.145972	,2	,1.8079,	0.0000,	0.1967
2024-04-09 19:58:06.286947	,3	,2.0718,	0.0000,	0.2367
2024-04-09 19:58:15.537476	,4	,1.9038,	0.0000,	0.2247
2024-04-09 19:58:25.040282	,5	,1.7485,	0.0000,	0.2180
2024-04-09 19:58:34.715532	,6	,1.8967,	0.0000,	0.2220
2024-04-09 19:58:44.143932	,7	,1.7589,	0.0000,	0.2393
2024-04-09 19:58:53.696874	,8	,1.7273,	0.0000,	0.2533
2024-04-09 19:59:02.928636	,9	,1.6713,	0.0000,	0.2347
2024-04-09 19:59:11.995448	,10	,1.8682,	0.0000,	0.1967
2024-04-09 19:59:21.173959	,11	,1.6254,	0.0000,	0.2367
2024-04-09 19:59:30.360501	,12	,1.6157,	0.0000,	0.2247
2024-04-09 19:59:39.767514	,13	,1.6204,	0.0000,	0.2180
2024-04-09 19:59:50.735552	,14	,1.4498,	0.0000,	0.2220
2024-04-09 20:00:00.549422	,15	,1.6589,	0.0000,	0.2393
2024-04-09 20:00:10.424330	,16	,1.5467,	0.0000,	0.2533
2024-04-09 20:00:20.298418	,17	,1.4979,	0.0000,	0.2347
2024-04-09 20:00:30.507301	,18	,1.6137,	0.0000,	0.1967
2024-04-09 20:00:40.227330	,19	,1.4305,	0.0000,	0.2367
2024-04-09 20:00:50.226282	,20	,1.3451,	0.0000,	0.2247
2024-04-09 20:00:59.896587	,21	,1.3724,	0.0000,	0.2180
2024-04-09 20:01:10.447730	,22	,1.4250,	0.0000,	0.2220
2024-04-09 20:01:20.620638	,23	,1.4391,	0.0000,	0.2393
2024-04-09 20:01:30.377718	,24	,1.3119,	0.0000,	0.2533
2024-04-09 20:01:40.007070	,25	,1.5042,	0.0000,	0.2347
2024-04-09 20:01:49.792863	,26	,1.4439,	0.0000,	0.1967
2024-04-09 20:01:59.593474	,27	,1.3568,	0.0000,	0.2367
2024-04-09 20:02:09.325679	,28	,1.3491,	0.0000,	0.2247
2024-04-09 20:02:18.750297	,29	,1.4041,	0.0000,	0.2180
2024-04-09 20:02:27.810778	,30	,1.3601,	0.0000,	0.2220
2024-04-09 20:02:36.885781	,31	,1.3496,	0.0000,	0.2393
2024-04-09 20:02:46.048537	,32	,1.2961,	0.0000,	0.2533
2024-04-09 20:02:55.274423	,33	,1.3581,	0.0000,	0.2347
2024-04-09 20:03:04.569231	,34	,1.3234,	0.0000,	0.1967
2024-04-09 20:03:13.739200	,35	,1.4070,	0.0000,	0.2367
2024-04-09 20:03:22.863971	,36	,1.3062,	0.0000,	0.2247
2024-04-09 20:03:31.883604	,37	,1.2336,	0.0000,	0.2180
2024-04-09 20:03:40.958216	,38	,1.3067,	0.0000,	0.2220
2024-04-09 20:03:50.010727	,39	,1.2708,	0.0000,	0.2393
2024-04-09 20:03:59.209921	,40	,1.2800,	0.0000,	0.2533
2024-04-09 20:04:08.379754	,41	,1.2397,	0.0000,	0.2347
2024-04-09 20:04:17.528358	,42	,1.2568,	0.0000,	0.1967
2024-04-09 20:04:26.531905	,43	,1.2411,	0.0000,	0.2367
2024-04-09 20:04:35.720694	,44	,1.2261,	0.0000,	0.2247
2024-04-09 20:04:44.787944	,45	,1.2426,	0.0000,	0.2180
2024-04-09 20:04:53.997715	,46	,1.2244,	0.0000,	0.2220
2024-04-09 20:05:03.213696	,47	,1.1576,	0.0000,	0.2393
2024-04-09 20:05:12.360520	,48	,1.1769,	0.0000,	0.2533
2024-04-09 20:05:21.464456	,49	,1.2397,	0.0000,	0.2347
2024-04-09 20:05:30.751646	,50	,1.2724,	0.0000,	0.1967
2024-04-09 20:05:39.912989	,51	,1.2555,	0.0000,	0.2367
2024-04-09 20:05:49.123264	,52	,1.2025,	0.0000,	0.2247
2024-04-09 20:05:58.410748	,53	,1.2420,	0.0000,	0.2180
2024-04-09 20:06:07.604699	,54	,1.1545,	0.0000,	0.2220
